num_tasks,comm_delay,packet_loss,epsilon,run_index,makespan,message_count,optimality_gap,recovery_time,execution_time,completion_rate,workload_balance,optimal_makespan
4,0,0.0,0.01,0,7.399999999999974,9,0.45213804833205623,0,0.10750460624694824,1.0,1,5.095934238827848
4,0,0.0,0.01,1,4.799999999999999,14,-0.6384837193993208,0,0.020895004272460938,1.0,1,13.277410334119766
4,0,0.0,0.01,2,7.999999999999972,9,-0.19085866239801816,0,0.05368161201477051,1.0,1,9.88702421718959
4,0,0.0,0.01,3,6.4999999999999805,11,-0.18486221215338103,0,0.02312493324279785,1.0,1,7.974111980713447
4,0,0.0,0.01,4,7.599999999999973,11,-0.44246025349842594,0,0.022514820098876953,1.0,1,13.631315162171163
4,0,0.0,0.01,5,7.599999999999982,9,0.09430966014848653,0,0.025738954544067383,1.0,1,6.945017737455356
4,0,0.0,0.01,6,7.200000000000102,8,-0.11678911837572693,0,0.037122488021850586,1.0,1,8.152073473957781
4,0,0.0,0.01,7,5.799999999999995,11,-0.4934083194852705,0,0.028101444244384766,1.0,1,11.449062870726232
4,0,0.0,0.01,8,5.899999999999995,14,-0.555140282373102,0,0.04714155197143555,1.0,1,13.26260788788321
4,0,0.0,0.01,9,7.999999999999972,11,-0.38312374905830354,0,0.027751922607421875,1.0,1,12.968565393444017
4,0,0.0,0.01,10,7.599999999999973,9,0.1094903457081302,0,0.025809288024902344,1.0,1,6.849992007050126
4,0,0.0,0.01,11,6.499999999999993,11,-0.5176898479616234,0,0.02291083335876465,1.0,1,13.476805272559966
4,0,0.0,0.01,12,7.29999999999999,14,-0.591279888899112,0,0.021905899047851562,1.0,1,17.860633234653985
4,0,0.0,0.01,13,6.399999999999993,14,-0.5858013093839285,0,0.02601933479309082,1.0,1,15.45152156439884
4,0,0.0,0.01,14,5.899999999999995,11,-0.5629123667692035,0,0.023460865020751953,1.0,1,13.49843727306877
4,0,0.0,0.01,15,7.899999999999988,14,-0.5230748066960141,0,0.020749330520629883,1.0,1,16.56444262311098
4,0,0.0,0.01,16,6.899999999999999,9,-0.10619530527766709,0,0.06217622756958008,1.0,1,7.719807292065673
4,0,0.0,0.01,17,7.699999999999989,14,-0.5684566541900928,0,0.021017074584960938,1.0,1,17.84293530363414
4,0,0.0,0.01,18,7.399999999999974,11,-0.1931230001851095,0,0.02480602264404297,1.0,1,9.171162397363716
4,0,0.0,0.01,19,6.8999999999999915,11,-0.5587355371767222,0,0.02399730682373047,1.0,1,15.636881238640276
4,0,0.0,0.01,20,7.999999999999988,11,-0.5046011502982234,0,0.026007890701293945,1.0,1,16.148604311083645
4,0,0.0,0.01,21,7.499999999999989,11,-0.5802011962445556,0,0.025154590606689453,1.0,1,17.865701219027642
4,0,0.0,0.01,22,7.000000000000018,9,-0.07691492986225373,0,0.02949213981628418,1.0,1,7.583266403556339
4,0,0.0,0.01,23,7.099999999999991,14,-0.5024296670119253,0,0.02139592170715332,1.0,1,14.269339486866384
4,0,0.0,0.01,24,5.399999999999997,14,-0.5777025797739745,0,0.021611690521240234,1.0,1,12.787196277708174
4,0,0.0,0.01,25,7.899999999999988,11,-0.43049314022999663,0,0.02467060089111328,1.0,1,13.871650296171008
4,0,0.0,0.01,26,7.899999999999972,11,-0.49283520377099455,0,0.026317358016967773,1.0,1,15.576790934110502
4,0,0.0,0.01,27,6.799999999999992,11,-0.4707302843389083,0,0.027057886123657227,1.0,1,12.847891724744457
4,0,0.0,0.01,28,6.099999999999994,11,-0.5190978176095006,0,0.03514432907104492,1.0,1,12.68449223847919
4,0,0.0,0.01,29,6.5999999999999925,11,-0.34905978394060194,0,0.024428606033325195,1.0,1,10.139179969482397
4,0,0.0,0.05,0,7.399999999999974,9,0.45213804833205623,0,0.029615402221679688,1.0,1,5.095934238827848
4,0,0.0,0.05,1,4.799999999999999,14,-0.6384837193993208,0,0.020891904830932617,1.0,1,13.277410334119766
4,0,0.0,0.05,2,7.999999999999972,9,-0.19085866239801816,0,0.030855417251586914,1.0,1,9.88702421718959
4,0,0.0,0.05,3,6.4999999999999805,11,-0.18486221215338103,0,0.023693084716796875,1.0,1,7.974111980713447
4,0,0.0,0.05,4,7.599999999999973,11,-0.44246025349842594,0,0.02372121810913086,1.0,1,13.631315162171163
4,0,0.0,0.05,5,7.599999999999982,9,0.09430966014848653,0,0.02853083610534668,1.0,1,6.945017737455356
4,0,0.0,0.05,6,7.200000000000102,8,-0.11678911837572693,0,0.03302192687988281,1.0,1,8.152073473957781
4,0,0.0,0.05,7,5.799999999999995,11,-0.4934083194852705,0,0.02449941635131836,1.0,1,11.449062870726232
4,0,0.0,0.05,8,5.899999999999995,14,-0.555140282373102,0,0.02293109893798828,1.0,1,13.26260788788321
4,0,0.0,0.05,9,7.999999999999972,11,-0.38312374905830354,0,0.0268251895904541,1.0,1,12.968565393444017
4,0,0.0,0.05,10,7.599999999999973,9,0.1094903457081302,0,0.05393075942993164,1.0,1,6.849992007050126
4,0,0.0,0.05,11,6.499999999999993,11,-0.5176898479616234,0,0.02497124671936035,1.0,1,13.476805272559966
4,0,0.0,0.05,12,7.29999999999999,14,-0.591279888899112,0,0.033532142639160156,1.0,1,17.860633234653985
4,0,0.0,0.05,13,6.399999999999993,14,-0.5858013093839285,0,0.02235579490661621,1.0,1,15.45152156439884
4,0,0.0,0.05,14,5.899999999999995,11,-0.5629123667692035,0,0.02290177345275879,1.0,1,13.49843727306877
4,0,0.0,0.05,15,7.899999999999988,14,-0.5230748066960141,0,0.020550012588500977,1.0,1,16.56444262311098
